detector,n_bins,n_obs_per_period,alpha,testing_set,time2build,time2graphs,time2global,time2metrics,time2predict,time2window,tp,tn,fp,fn
Hamming,25,24,10,normal,0.602508544921875,0.45346713066101074,0.10855412483215332,0.033486366271972656,0.007008075714111328,8.356022596359253,0,210,0,0
Hamming,25,24,10,anomalous,0.602508544921875,0.45346713066101074,0.10855412483215332,0.033486366271972656,0.006146430969238281,8.448848247528076,0,0,0,210
Hamming,30,24,1,normal,0.5852763652801514,0.4337639808654785,0.10909080505371094,0.035421133041381836,0.0070018768310546875,9.421475172042847,0,210,0,0
Hamming,30,24,1,anomalous,0.5852763652801514,0.4337639808654785,0.10909080505371094,0.035421133041381836,0.007319450378417969,9.432551860809326,0,0,0,210
Hamming,30,24,2,normal,0.6091890335083008,0.4573850631713867,0.1103208065032959,0.03448319435119629,0.007201194763183594,9.371207475662231,0,210,0,0
Hamming,30,24,2,anomalous,0.6091890335083008,0.4573850631713867,0.1103208065032959,0.03448319435119629,0.0071811676025390625,9.430275678634644,0,0,0,210
Hamming,30,24,3,normal,0.5805923938751221,0.43026185035705566,0.10878729820251465,0.03425741195678711,0.007013082504272461,9.396788358688354,0,210,0,0
Hamming,30,24,3,anomalous,0.5805923938751221,0.43026185035705566,0.10878729820251465,0.03425741195678711,0.007177829742431641,9.434574604034424,0,0,0,210
Hamming,30,24,4,normal,0.6054120063781738,0.4563312530517578,0.1074225902557373,0.03447747230529785,0.0071794986724853516,9.396523714065552,0,210,0,0
Hamming,30,24,4,anomalous,0.6054120063781738,0.4563312530517578,0.1074225902557373,0.03447747230529785,0.0070133209228515625,9.4141206741333,0,0,0,210
Hamming,30,24,5,normal,0.611011266708374,0.4592137336730957,0.1090848445892334,0.03571605682373047,0.007250070571899414,9.40178108215332,0,210,0,0
Hamming,30,24,5,anomalous,0.611011266708374,0.4592137336730957,0.1090848445892334,0.03571605682373047,0.007001638412475586,9.44141173362732,0,0,0,210
Hamming,30,24,6,normal,0.584176778793335,0.42969632148742676,0.11100363731384277,0.035469770431518555,0.0071561336517333984,9.390798330307007,0,210,0,0
