DT,Usage
14348,0.0
14401,0.0
14402,0.0
14403,0.0
14404,0.0
14405,0.0
14406,0.0
14407,0.0
14408,0.0
14409,0.0
14410,0.0
14411,0.0
14412,0.0
14413,0.0
14414,0.0
14415,0.01
14416,0.03
14417,0.23
14418,0.31
14419,0.39
14420,0.46
14421,0.5
14422,0.53
14423,0.57
14424,0.53
14425,0.48
14426,0.57
14427,0.56
14428,0.53
14429,0.36
14430,0.08
14431,0.02
14432,0.02
14433,0.02
14434,0.01
14435,0.0
14436,0.0
14437,0.0
14438,0.0
14439,0.0
14440,0.0
14441,0.0
14442,0.0
14443,0.0
14444,0.0
14445,0.0
14446,0.0
14447,0.0
14448,0.0
14501,0.0
14502,0.0
14503,0.0
14504,0.0
14505,0.0
14506,0.0
14507,0.0
14508,0.0
14509,0.0
14510,0.0
14511,0.0
14512,0.0
14513,0.01
14514,0.0
14515,0.01
14516,0.06
14517,0.06
14518,0.06
14519,0.11
14520,0.42
14521,0.49
14522,0.53
14523,0.55
14524,0.49
14525,0.19
